Threads	Sequencial	Sequencial-std-dev	Pipeline	Pipeline-std-dev	Map	Map-std-dev	Pipeline-Farm	Pipeline-Farm-std-dev	Pipeline-Map	Pipeline-Map-std-dev	Pipeline-Farm-Map	Pipeline-Farm-Map-std-dev	
1	25709.882800	1118.296993	23869.632000	36.372488	23780.293200	78.588626	23902.341400	198.600818	23116.018000	55.046619	23030.459600	16.755525	
2	0.0	0.0	0.0	0.0	11736.989800	28.583418	11857.810600	9.790269	11682.301600	12.822048	11633.247200	12.716123	
3	0.0	0.0	0.0	0.0	7923.664200	15.020087	7964.334800	23.138886	7852.118400	12.010567	7825.534600	15.966209	
4	0.0	0.0	0.0	0.0	6121.626400	93.930959	6247.875000	97.076079	5983.445400	51.770128	6206.116600	105.802261	
5	0.0	0.0	0.0	0.0	5255.799600	47.403645	5372.876800	90.310575	5361.828800	22.648101	5003.233600	48.785528	
6	0.0	0.0	0.0	0.0	4656.628600	11.474388	4738.420400	71.058104	4475.149000	54.496800	4637.171400	195.040014	
7	0.0	0.0	0.0	0.0	4251.670400	64.343949	3976.240200	20.573278	4211.366600	90.392287	3930.988400	59.016084	
8	0.0	0.0	0.0	0.0	3769.618200	12.999008	3777.117600	53.070991	3606.956600	55.725275	3515.271000	12.662862	
9	0.0	0.0	0.0	0.0	3629.364000	96.637576	3245.012600	55.057278	3287.795600	7.691976	3289.241600	93.115374	
10	0.0	0.0	0.0	0.0	3424.637600	17.877486	3186.783800	24.420343	3262.953800	14.770867	3167.237400	16.146663	
11	0.0	0.0	0.0	0.0	3202.217000	20.541081	2955.330600	13.645296	2855.984800	65.110412	2747.556400	14.450470	
12	0.0	0.0	0.0	0.0	2838.895800	28.153502	2690.997800	76.154784	2736.482000	67.460427	2585.894600	20.805170	
